name,low,high,value,avg_val
Silver Ewer,1,10,1d10x10 gp,55 gp
Carved Bone Statuette,1,10,1d10x10 gp,55 gp
Ivory Statuette,1,10,1d10x10 gp,55 gp
Finely Wrought Gold Bracelet,1,10,1d10x10 gp,55 gp
Cloth of Gold Vestments,11,25,3d6x10 gp,105 gp
Black Velvet Mask with Numerous Citrines,11,25,3d6x10 gp,105 gp
Silver Chalice with Lapis Lazuli Gems,11,25,3d6x10 gp,105 gp
Large Well-done Wool Tapestry,26,40,1d6x100 gp,350 gp
Brass Mug with Jade Inlay,26,40,1d6x100 gp,350 gp
Silver Comb with Moonstones,41,50,1d10x100 gp,550 gp
Silver-plated Steel Longsword with Jet Jewel in Hilt,41,50,1d10x100 gp,550 gp
Carved Harp of Exotic Wood with Ivory Inlay and Zircon Gems,51,60,2d6x100 gp,700 gp
Solid Gold Idol (10 lb),51,60,2d6x100 gp,700 gp
Gold Dragon Comb with Red Garnet Eye,61,70,3d6x100 gp,1050 gp
Gold and Topaz Bottle Stopper Cork,61,70,3d6x100 gp,1050 gp
Ceremonial Electrum Dagger with A Star Ruby in Pommel,61,70,3d6x100 gp,1050 gp
Eyepatch with Mock Eye of Sapphire and Moonstone,71,80,4d6x100 gp,1400 gp
Fire Opal Pendant on a Fine Gold Chain,71,80,4d6x100 gp,1400 gp
Old Masterpiece Painting,71,80,4d6x100 gp,1400 gp
Embroidered Silk and Velvet Mantle with Numerous Moonstones,81,85,5d6x100 gp,1750 gp
Sapphire Pendant on Gold Chain,81,85,5d6x100 gp,1750 gp
Embroidered and Bejeweled Glove,86,90,1d4x1000 gp,2500 gp
Jeweled Anklet,86,90,1d4x1000 gp,2500 gp
Gold Music Box,86,90,1d4x1000 gp,2500 gp
Golden Circlet with Four Aquamarines,91,95,1d6x1000 gp,3500 gp
A String of Small Pink Pearls,91,95,1d6x1000 gp,3500 gp
Jeweled Gold Crown,96,99,2d4x1000 gp,5000 gp
Jeweled Electrum Ring,96,99,2d4x1000 gp,5000 gp
Gold and Ruby Ring,100,100,2d6x1000 gp,7000 gp
Gold Cup Set with Emeralds,100,100,2d6x1000 gp,7000 gp
